time_idx,group_id,target,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,month_sin,month_cos,lag_1,lag_24,lag_168,rolling_mean_24,rolling_mean_168,total_renewable_mw,net_load,high_demand_flag,peak_hour_flag,wind_generation_mw,solar_generation_mw
139,0,193131.572,0,1,1,0,0.0,1.0,0.0,1.0,194631.172,173102.182,200567.46,170805.899,177610.499,2062.866,191068.706,0,0,2062.866,0.0
140,0,189420.036,1,1,1,0,0.258819,0.965926,0.0,1.0,193131.572,170388.31,198248.038,171640.457,177566.238,2124.507,187295.529,0,0,2124.507,0.0
141,0,182950.414,2,1,1,0,0.5,0.866025,0.0,1.0,189420.036,164957.048,192858.724,172433.446,177513.691,2723.049,180227.365,0,0,2723.049,0.0
142,0,173570.346,3,1,1,0,0.707107,0.707107,0.0,1.0,182950.414,157817.146,183960.08,173183.169,177454.713,3402.631,170167.715,0,0,3402.631,0.0
143,0,164695.4,4,1,1,0,0.866025,0.5,0.0,1.0,173570.346,150437.926,175411.412,173839.552,177392.869,3896.822,160798.578,0,0,3896.822,0.0
144,0,157810.23,5,1,1,0,0.965926,0.258819,0.0,1.0,164695.4,145374.394,169406.718,174433.614,177329.083,4284.688,153525.542,0,0,4284.688,0.0
145,0,153622.228,6,1,1,0,1.0,0.0,0.0,1.0,157810.23,143083.216,166827.548,174951.774,177260.056,3465.715,150156.513,0,0,3465.715,0.0
146,0,151638.896,7,1,1,0,0.965926,-0.258819,0.0,1.0,153622.228,142206.67,166193.716,175390.899,177181.453,2841.035,148797.861,0,0,2841.035,0.0
147,0,151734.628,8,1,1,0,0.866025,-0.5,0.0,1.0,151638.896,143469.474,167039.07,175783.909,177094.817,2449.019,149285.609,0,0,2449.019,0.0
148,0,155217.158,9,1,1,0,0.707107,-0.707107,0.0,1.0,151734.628,147993.792,171481.508,176128.29,177003.72,2209.723,153007.435,0,0,2209.723,0.0
149,0,165078.106,10,1,1,0,0.5,-0.866025,0.0,1.0,155217.158,158946.338,181926.396,176429.264,176906.908,2393.698,162684.408,0,0,2393.698,0.0
150,0,180438.41,11,1,1,0,0.258819,-0.965926,0.0,1.0,165078.106,175902.58,197749.67,176684.754,176806.621,2842.028,177596.382,0,0,2842.028,0.0
151,0,190644.426,12,1,1,0,0.0,-1.0,0.0,1.0,180438.41,187518.148,207674.968,176873.747,176703.577,3020.358,187624.068,0,0,3020.358,0.0
152,0,190852.678,13,1,1,0,-0.258819,-0.965926,0.0,1.0,190644.426,188803.874,206453.496,177004.009,176602.205,3007.867,187844.811,0,0,2977.046,30.821
153,0,190182.466,14,1,1,0,-0.5,-0.866025,0.0,1.0,190852.678,188435.528,201600.07,177089.375,176509.343,3421.308,186761.158,0,0,3349.035,72.273
154,0,189282.702,15,1,1,0,-0.707107,-0.707107,0.0,1.0,190182.466,187023.602,196939.294,177162.164,176441.381,3662.209,185620.493,0,0,3494.811,167.398
155,0,188168.886,16,1,1,0,-0.866025,-0.5,0.0,1.0,189282.702,185240.108,194680.652,177256.294,176395.806,3951.863,184217.023,0,0,3663.615,288.248
156,0,186247.708,17,1,1,0,-0.965926,-0.258819,0.0,1.0,188168.886,183178.498,193186.674,177378.326,176357.046,4211.158,182036.55,0,1,3935.254,275.904
